StudyID,PE1_PARFuture,I1_IMFuture,I2_IMForeigners,O1_FriendsImportant,O2_PeopleExpect,PE2_PARPractice,I3_IMEngSpeaker,O3_PeopleRespect,O4_PeersApproval,I4_IMLivingAbroad,I5_IMWritingEmail,O5_PeopleKnowledge,I6_IMUniversity,O6_LetOthersDown,PE3_PARTry,I7_IMEnglishFriends,I8_IMRoleModel,I9_IMNative,I10_FutureRequire,O7_PARDisappointed,O8_NegativeLife,O9_PAREducated,AgeYrs,Cohort,AgeGrp,PEScore,IL2Score,OL2Score
105,5,3,3,2,5,5,4,2,5,4,4,5,5,2,5,4,3,3,5,4,5,5,19,2,2,15,38,25
106,5,4,4,3,5,5,4,5,5,4,5,4,4,2,4,4,4,4,5,5,4,5,20,2,3,14,42,29
108,5,5,5,2,2,4,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,20,2,3,12,36,18
109,3,3,5,5,5,3,5,5,5,5,4,1,4,2,3,5,4,3,5,5,4,3,21,2,4,9,43,28
110,5,5,5,3,3,5,5,4,1,5,5,2,4,1,5,5,5,5,3,4,5,4,20,2,3,15,47,18
111,4,4,3,3,4,4,3,4,3,3,3,4,3,4,4,3,3,2,4,4,4,4,20,2,3,12,31,26
12,5,5,5,1,3,5,5,5,3,5,5,1,2,5,5,5,5,5,2,5,1,1,22,2,5,15,44,23
113,5,3,3,1,3,5,3,3,3,2,3,1,1,1,3,2,4,2,3,2,2,2,21,2,4,13,26,14
114,5,5,5,3,3,5,5,3,3,5,5,1,5,1,3,5,5,5,5,2,4,5,19,2,2,13,50,16
115,1,1,1,5,5,1,1,5,2,1,1,3,1,3,3,1,1,1,1,3,1,1,21,2,4,5,10,26
116,4,4,4,1,2,3,5,4,3,5,3,3,4,1,3,4,3,3,5,4,4,2,21,2,4,10,40,18
117,5,5,5,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,3,5,5,20,2,3,15,50,27
118,5,5,5,3,2,5,5,3,1,5,5,2,5,1,5,5,5,5,5,2,4,4,20,2,3,15,50,14
119,4,4,3,1,5,4,5,5,5,5,5,3,2,1,5,5,4,4,5,4,5,5,21,2,4,13,42,24
120,5,5,5,3,5,5,5,5,4,5,5,4,4,3,5,5,5,5,5,5,3,5,20,2,3,15,49,29
121,4,3,3,1,2,4,3,2,4,4,3,1,4,2,4,4,3,2,5,2,5,4,20,2,3,12,34,14
122,5,5,5,5,5,5,5,5,5,4,5,5,4,2,4,5,5,5,5,2,4,4,20,2,3,14,48,29
123,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,20,2,3,3,12,7
124,5,5,4,1,3,5,5,5,2,4,5,1,5,4,5,5,5,5,4,5,4,3,20,2,3,15,47,21
