StudyID,PE1_PARFuture,I1_IMFuture,I2_IMForeigners,O1_FriendsImportant,O2_PeopleExpect,PE2_PARPractice,I3_IMEngSpeaker,O3_PeopleRespect,O4_PeersApproval,I4_IMLivingAbroad,I5_IMWritingEmail,O5_PeopleKnowledge,I6_IMUniversity,O6_LetOthersDown,PE3_PARTry,I7_IMEnglishFriends,I8_IMRoleModel,I9_IMNative,I10_FutureRequire,O7_PARDisappointed,O8_NegativeLife,O9_PAREducated,AgeYrs,Cohort,AgeGrp,PEScore,IL2Score,OL2Score
47,2,3,5,1,1,1,4,1,1,4,3,1,4,1,1,3,4,4,5,1,3,1,23,1,6,4,39,7
1,5,5,4,2,3,5,4,5,5,2,5,5,2,1,4,2,5,5,5,4,4,5,21,2,4,14,39,25
2,5,5,5,1,1,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,20,2,3,15,50,22
3,5,4,4,4,4,5,3,3,4,4,4,4,3,4,4,4,5,4,5,4,4,4,22,2,5,14,40,27
4,5,5,5,2,2,5,5,3,4,5,3,3,3,2,3,4,4,3,4,1,5,3,19,2,2,13,41,17
5,3,3,3,2,4,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,20,2,3,9,36,26
6,5,5,5,4,2,5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,4,5,20,2,3,15,50,25
7,5,4,5,4,4,4,4,5,4,4,5,4,5,2,5,5,5,5,4,5,3,5,20,2,3,14,46,28
8,5,5,5,1,5,5,5,3,3,5,5,3,5,3,5,5,5,5,5,3,2,4,20,2,3,15,50,21
9,3,5,5,2,2,2,5,2,2,5,5,2,5,2,2,5,5,5,3,2,3,2,20,2,3,7,48,14
10,5,5,5,3,3,5,5,4,2,3,5,3,4,5,5,5,5,5,5,4,5,5,20,2,3,15,47,24
11,2,5,4,1,2,2,5,2,2,4,4,3,5,1,2,4,4,5,5,2,4,3,20,2,3,6,45,13
12,3,2,3,5,5,1,3,5,5,4,3,5,3,4,5,1,1,1,5,5,5,5,19,2,2,9,26,34
13,5,4,5,1,3,5,5,2,2,5,5,3,5,3,4,5,5,5,5,3,5,5,19,2,2,14,49,17
14,5,5,5,4,3,5,5,3,4,5,5,4,5,4,5,5,5,5,4,4,5,5,20,2,3,15,49,26
15,5,5,5,1,3,5,5,3,3,5,5,4,5,1,3,5,4,3,5,1,3,3,19,2,2,13,47,16
16,3,5,5,2,4,2,5,2,4,5,5,2,5,3,2,2,5,5,3,2,3,2,19,2,2,7,45,19
17,4,4,4,3,2,5,5,3,3,3,4,1,3,1,4,4,5,4,2,2,2,3,21,2,4,13,38,15
18,4,4,4,3,2,4,5,3,3,4,5,4,4,3,3,5,5,5,4,3,4,4,19,2,2,11,45,21
19,4,4,5,3,3,4,5,4,3,5,5,2,4,2,4,4,2,4,3,2,4,2,20,2,3,12,41,19
20,1,4,5,1,1,2,5,1,1,5,5,2,5,1,1,5,2,2,1,1,1,1,19,2,2,4,39,8
21,5,4,4,1,3,5,5,3,3,4,4,1,4,1,5,4,4,3,4,2,2,3,21,2,4,15,40,14
22,4,5,5,3,2,4,5,1,2,5,5,1,5,1,3,5,5,5,5,1,3,2,20,2,3,11,50,11
24,5,5,5,1,5,1,5,5,5,5,5,3,5,1,1,5,5,5,5,5,4,5,19,2,2,7,50,25
25,5,1,1,4,2,5,1,3,1,1,1,2,1,4,4,1,1,1,1,4,2,4,20,2,3,14,10,20
26,5,3,4,5,4,4,4,1,1,4,5,3,5,3,4,3,4,4,5,4,4,5,20,2,3,13,41,21
27,2,3,5,3,3,1,5,4,3,5,4,2,5,3,2,4,4,4,4,2,3,1,19,2,2,5,43,20
28,1,4,4,1,3,1,5,2,1,5,4,5,5,1,2,5,5,4,5,4,5,4,19,2,2,4,46,17
29,5,4,3,3,5,5,5,5,5,4,4,5,5,5,4,5,5,4,5,5,5,5,21,2,4,14,44,33
30,5,5,5,1,3,3,5,3,1,5,5,3,5,1,5,3,3,5,5,3,5,5,21,2,4,13,46,15
31,5,5,5,1,2,4,5,3,3,5,5,3,5,3,4,5,5,5,5,4,5,3,19,2,2,13,50,19
32,5,3,3,5,4,5,3,3,3,4,5,4,3,4,3,3,3,3,5,4,5,2,21,2,4,13,35,27
33,3,4,5,1,1,1,4,1,1,4,3,2,4,1,1,4,3,4,4,3,4,2,19,2,2,5,39,10
34,2,5,5,1,1,5,5,1,1,5,5,1,5,1,1,5,5,5,5,1,1,1,20,2,3,8,50,7
35,5,4,4,1,4,5,5,1,1,4,3,3,4,1,4,4,5,4,4,3,5,5,20,2,3,14,41,14
36,5,3,4,1,4,5,4,5,4,5,3,5,5,2,4,4,5,4,4,4,5,4,19,2,2,14,41,25
37,5,5,5,4,4,5,5,4,4,5,5,4,5,3,5,5,5,5,5,3,5,5,22,2,5,15,50,26
38,5,5,5,3,3,5,5,3,3,5,5,3,5,3,5,5,5,5,3,4,5,5,21,2,4,15,48,22
39,3,5,4,2,4,3,5,4,4,4,4,4,4,5,3,3,4,4,4,3,5,3,21,2,4,9,41,26
40,1,3,3,1,2,1,4,4,5,5,5,3,3,1,1,4,2,3,4,1,5,1,20,2,3,3,36,17
42,4,5,5,2,3,5,5,2,2,5,5,1,5,1,2,5,5,5,5,1,5,1,20,2,3,11,50,12
43,3,5,5,1,2,2,5,1,1,5,5,1,5,1,2,5,5,5,5,1,5,2,20,2,3,7,50,8
44,5,5,5,5,3,5,5,3,4,5,5,4,5,3,5,5,5,5,5,4,5,5,20,2,3,15,50,26
45,5,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,22,2,5,8,14,7
46,1,4,5,1,1,1,3,1,1,2,4,3,2,1,1,1,2,1,3,1,5,1,21,2,4,3,27,9
47,4,5,5,1,3,4,5,2,2,3,4,2,3,5,4,3,5,5,4,3,3,4,20,2,3,12,42,18
48,1,2,1,1,1,1,3,1,1,3,2,1,2,2,1,1,1,2,1,2,1,1,20,2,3,3,18,9
49,4,5,4,3,2,3,5,5,5,5,4,5,4,3,4,5,5,5,5,5,5,4,22,2,5,11,47,28
