Month,Com-ID,Display_ID,Owner,Local_authority_area,Postcode,Domain,Number_of_sessions,Power_drawn_kWh,Number_of_faults,Uptime,Display_category
24-Dec,62545,62545,"ChargePlace Scotland, Fife Council",Fife,KY10 3AB,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,60301,60301,"ChargePlace Scotland, Ayrshire Roads Alliance",East Ayrshire,KA18 4AN,ChargePlace Scotland,69,2144.35,1,95.50%,Public
24-Dec,70047,70047,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG4 6NE,ChargePlace Scotland,30,828.68,1,98.50%,Public
24-Dec,62340,62340,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB11 9QQ,ChargePlace Scotland,2,3.6,0,100.00%,Public
24-Dec,62339,62339,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB11 9QQ,ChargePlace Scotland,1,1.06,0,100.00%,Public
24-Dec,62376,62376,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1AL,ChargePlace Scotland,2,41.76,0,100.00%,Public
24-Dec,62534,62534,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1ZU,ChargePlace Scotland,108,2316.73,3,83.70%,Public
24-Dec,70058,70058,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 7LN,ChargePlace Scotland,75,1657.73,0,97.40%,Public
24-Dec,62525,62525,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 7BA,ChargePlace Scotland,158,3698.39,0,89.20%,Public
24-Dec,62558,62558,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,5,182.85,1,100.00%,Public
24-Dec,62729,62729,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,1,21.04,1,100.00%,Public
24-Dec,62649,62649,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,2,64.25,0,100.00%,Public
24-Dec,62648,62648,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,3,100.83,0,100.00%,Public
24-Dec,62604,62604,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,9,333.53,1,100.00%,Public
24-Dec,70076,70076,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB25 1BY,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,70195,70195,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 3QS,ChargePlace Scotland,1,3.6,0,100.00%,Public
24-Dec,70194,70194,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 3QS,ChargePlace Scotland,2,7.6,0,100.00%,Public
24-Dec,70191,70191,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB42 1QF,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,70190,70190,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB45 1BY,ChargePlace Scotland,1,14.1,0,100.00%,Public
24-Dec,70189,70189,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 5FW,ChargePlace Scotland,5,91.7,0,100.00%,Public
24-Dec,70188,70188,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB41 8LF,ChargePlace Scotland,1,57,0,100.00%,Public
24-Dec,70187,70187,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB32 6XZ,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,70186,70186,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB32 6XZ,ChargePlace Scotland,4,22.2,0,100.00%,Public
24-Dec,70185,70185,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB32 6XZ,ChargePlace Scotland,2,65.4,0,100.00%,Public
24-Dec,70184,70184,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB12 4UR,ChargePlace Scotland,5,1.7,1,100.00%,Public
24-Dec,70183,70183,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB39 2DQ,ChargePlace Scotland,1,0,1,100.00%,Public
24-Dec,70182,70182,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB30 1ZJ,ChargePlace Scotland,1,29.8,0,100.00%,Public
24-Dec,70181,70181,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB30 1ZJ,ChargePlace Scotland,7,108.7,1,100.00%,Public
24-Dec,62110,62110,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH41 4PX,ChargePlace Scotland,11,167.32,0,98.90%,Public
24-Dec,FC18815,61348,"ChargePlace Scotland, ScotRail Trains Limited",Glasgow City,G68 9AA,ChargePlace Scotland,6,185.84,0,100.00%,Public
24-Dec,FC18614,61349,"ChargePlace Scotland, ScotRail Trains Limited",Midlothian,EH23 4JX,ChargePlace Scotland,44,707.38,0,100.00%,Public
24-Dec,FC18612,61347,"ChargePlace Scotland, ScotRail Trains Limited",Midlothian,EH22 3NX,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,70055,70055,"ChargePlace Scotland, Fife Council",Fife,KY11 3BZ,ChargePlace Scotland,31,593.7,1,100.00%,Public
24-Dec,62469,62469,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,7,254.29,0,100.00%,Public
24-Dec,62468,62468,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62467,62467,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,18,471.34,0,100.00%,Public
24-Dec,62466,62466,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,17,441.8,0,100.00%,Public
24-Dec,62834,62834,"ChargePlace Scotland, West Dunbartonshire Council",West Dunbartonshire,G83 8HS,ChargePlace Scotland,144,3305.77,0,96.40%,Public
24-Dec,61640,61640,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA28 0AG,ChargePlace Scotland,14,505.01,0,99.50%,Public
24-Dec,62456,62456,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9PE,ChargePlace Scotland,14,182.12,0,100.00%,Public
24-Dec,62455,62455,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9PE,ChargePlace Scotland,2,18.25,0,100.00%,Public
24-Dec,62459,62459,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB24 4AN,ChargePlace Scotland,13,146.79,0,100.00%,Public
24-Dec,70156,70156,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB11 7TH,ChargePlace Scotland,71,1133.87,0,100.00%,Public
24-Dec,70155,70155,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1RD,ChargePlace Scotland,22,480.41,3,100.00%,Public
24-Dec,62457,62457,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 7BD,ChargePlace Scotland,4,132.53,0,100.00%,Public
24-Dec,62458,62458,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 7BD,ChargePlace Scotland,3,51.22,0,100.00%,Public
24-Dec,70159,70159,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9RG,ChargePlace Scotland,112,2699.17,1,97.70%,Public
24-Dec,70158,70158,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 6LR,ChargePlace Scotland,110,3050.4,2,94.10%,Public
24-Dec,70157,70157,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB16 7LL,ChargePlace Scotland,13,343.97,2,100.00%,Public
24-Dec,70154,70154,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB11 6LE,ChargePlace Scotland,96,2390.12,2,87.70%,Public
24-Dec,62401,62401,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH15 2AD,ChargePlace Scotland,31,568.82,0,100.00%,Public
24-Dec,62644,62644,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB23 8YF,ChargePlace Scotland,31,894.13,1,100.00%,Public
24-Dec,62624,62624,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB42 1WP,ChargePlace Scotland,29,238.66,1,100.00%,Public
24-Dec,62845,62845,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA22 8DA,ChargePlace Scotland,5,115.34,0,100.00%,Public
24-Dec,62844,62844,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA22 8DA,ChargePlace Scotland,24,686.62,0,100.00%,Public
24-Dec,61890,61890,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 7JA,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62972,62972,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA22 8DA,ChargePlace Scotland,93,2396.58,1,89.10%,Public
24-Dec,62971,62971,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA22 8DA,ChargePlace Scotland,148,4265.35,0,94.30%,Public
24-Dec,60672,60672,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1SD,ChargePlace Scotland,32,453.31,0,100.00%,Public
24-Dec,70146,70146,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,2,46.78,0,100.00%,Public
24-Dec,70147,70147,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,5,94.23,0,100.00%,Public
24-Dec,70148,70148,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,1,26.25,0,100.00%,Public
24-Dec,70149,70149,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,4,127.3,0,100.00%,Public
24-Dec,70150,70150,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,3,32.82,0,100.00%,Public
24-Dec,70145,70145,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,7,166.78,0,85.50%,Public
24-Dec,70144,70144,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,3,22.03,0,100.00%,Public
24-Dec,70143,70143,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,3,46.11,0,100.00%,Public
24-Dec,70142,70142,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,8,128.3,0,98.30%,Public
24-Dec,70141,70141,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,11,292.21,1,100.00%,Public
24-Dec,62345,62345,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,9,166.05,0,100.00%,Public
24-Dec,62344,62344,"ChargePlace Scotland, Fife Council",Fife,KY11 8HL,ChargePlace Scotland,9,288.99,0,100.00%,Public
24-Dec,62824,62824,"ChargePlace Scotland, Inverclyde Council",Inverclyde,PA19 1QU,ChargePlace Scotland,69,1760.66,0,98.40%,Public
24-Dec,62839,62839,"ChargePlace Scotland, NHS Forth Valley",Clackmannanshire,FK10 3JQ,ChargePlace Scotland,34,602.64,0,100.00%,Public
24-Dec,70127,70127,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH49 4JB,ChargePlace Scotland,23,548.9,0,57.90%,Public
24-Dec,70126,70126,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH49 4JB,ChargePlace Scotland,10,218.78,0,77.90%,Public
24-Dec,70125,70125,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH49 4JB,ChargePlace Scotland,58,1337.21,0,97.30%,Public
24-Dec,70124,70124,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH49 4JB,ChargePlace Scotland,42,1006.61,0,97.70%,Public
24-Dec,61863,61863,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV54 8YD,ChargePlace Scotland,15,376.63,0,100.00%,Public
24-Dec,61868,61868,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV51 9HX,ChargePlace Scotland,19,514.12,0,98.60%,Public
24-Dec,61867,61867,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV51 9HX,ChargePlace Scotland,10,124.98,0,100.00%,Public
24-Dec,61893,61893,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS8 5TH,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,61892,61892,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS8 5TH,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,61856,61856,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH36 4HZ,ChargePlace Scotland,13,303.68,0,99.80%,Public
24-Dec,61901,61901,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH20 1DA,ChargePlace Scotland,57,1453.32,2,95.70%,Public
24-Dec,61862,61862,"THE HIGHLAND COUNCIL, THE HIGHLAND COUNCIL (Private)",Highland,IV15 9LF,ChargePlace Scotland,0,0,0,100.00%,Private
24-Dec,61861,61861,"THE HIGHLAND COUNCIL, THE HIGHLAND COUNCIL (Private)",Highland,IV15 9LF,ChargePlace Scotland,0,0,0,100.00%,Private
24-Dec,61860,61860,"THE HIGHLAND COUNCIL, THE HIGHLAND COUNCIL (Private)",Highland,IV15 9LF,ChargePlace Scotland,0,0,0,100.00%,Private
24-Dec,61859,61859,"THE HIGHLAND COUNCIL, THE HIGHLAND COUNCIL (Private)",Highland,IV15 9LF,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,61858,61858,"THE HIGHLAND COUNCIL, THE HIGHLAND COUNCIL (Private)",Highland,IV15 9LF,ChargePlace Scotland,0,0,0,100.00%,Private
24-Dec,61857,61857,"THE HIGHLAND COUNCIL, THE HIGHLAND COUNCIL (Private)",Highland,IV15 9LF,ChargePlace Scotland,0,0,0,100.00%,Private
24-Dec,70103,70103,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA27 8LB,ChargePlace Scotland,1,25.04,0,100.00%,Public
24-Dec,70102,70102,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA27 8LB,ChargePlace Scotland,5,86.46,0,100.00%,Public
24-Dec,FC16469,61342,"ChargePlace Scotland, ScotRail Trains Limited",West Lothian,EH48 1BA,ChargePlace Scotland,43,830.47,0,100.00%,Public
24-Dec,FC18615,61346,"ChargePlace Scotland, ScotRail Trains Limited",Perth and Kinross,PH3 1JN,ChargePlace Scotland,9,130.5,0,100.00%,Public
24-Dec,FC18611,61345,"ChargePlace Scotland, ScotRail Trains Limited",Glasgow City,G33 6NQ,ChargePlace Scotland,10,204.03,0,100.00%,Public
24-Dec,FC18613,61344,ScotRail Trains Limited,South Lanarkshire,G74 1NF,ChargePlace Scotland,19,450.01,0,100.00%,Public
24-Dec,FC18610,61343,"ChargePlace Scotland, ScotRail Trains Limited",Midlothian,EH22 4PE,ChargePlace Scotland,37,717.93,2,100.00%,Public
24-Dec,62549,62549,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1PQ,ChargePlace Scotland,3,152.04,0,92.40%,Public
24-Dec,62548,62548,"ChargePlace Scotland, Stirling Council",Stirling Council,FK9 5DS,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,62539,62539,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1LL,ChargePlace Scotland,10,409.46,0,100.00%,Public
24-Dec,62538,62538,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1PQ,ChargePlace Scotland,12,398.65,0,84.80%,Public
24-Dec,62529,62529,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1LL,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62528,62528,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1JS,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62519,62519,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1LL,ChargePlace Scotland,2,12.12,0,100.00%,Public
24-Dec,62518,62518,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1JS,ChargePlace Scotland,2,61.72,0,100.00%,Public
24-Dec,62436,62436,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1RE,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62508,62508,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1LL,ChargePlace Scotland,5,151.97,0,89.80%,Public
24-Dec,62446,62446,"ChargePlace Scotland, Stirling Council",Stirling Council,FK9 5DS,ChargePlace Scotland,19,486.67,1,91.70%,Public
24-Dec,62509,62509,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 1RE,ChargePlace Scotland,1,10.42,0,100.00%,Public
24-Dec,62962,62962,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA22 8EA,ChargePlace Scotland,121,3552.17,1,89.30%,Public
24-Dec,62961,62961,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA22 8EA,ChargePlace Scotland,92,2663.63,6,96.30%,Public
24-Dec,62374,62374,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8LF,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62373,62373,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8LF,ChargePlace Scotland,46,520.35,0,91.70%,Public
24-Dec,62372,62372,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8LF,ChargePlace Scotland,25,277.72,2,97.30%,Public
24-Dec,62371,62371,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8LF,ChargePlace Scotland,11,202.45,0,100.00%,Public
24-Dec,62916,62916,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 5JQ,ChargePlace Scotland,171,2636.17,1,92.30%,Public
24-Dec,62917,62917,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 5JQ,ChargePlace Scotland,81,1362.36,1,100.00%,Public
24-Dec,62326,62326,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9TB,ChargePlace Scotland,2,128.83,0,100.00%,Public
24-Dec,62327,62327,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9TB,ChargePlace Scotland,2,11.63,0,100.00%,Public
24-Dec,62328,62328,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9TB,ChargePlace Scotland,47,1230.53,0,98.40%,Public
24-Dec,70132,70132,"ChargePlace Scotland, Fife Council",Fife,KY11 8UU,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62325,62325,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,KY13 8FR,ChargePlace Scotland,158,3298.02,1,90.50%,Public
24-Dec,62324,62324,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,KY13 8FR,ChargePlace Scotland,174,3654.15,2,95.20%,Public
24-Dec,62926,62926,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8PJ,ChargePlace Scotland,152,4159.06,0,95.10%,Public
24-Dec,62867,62867,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG2 9BH,ChargePlace Scotland,8,245.75,0,100.00%,Public
24-Dec,62142,62142,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV3 5SS,ChargePlace Scotland,19,182.64,0,100.00%,Public
24-Dec,62876,62876,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG9 7EH,ChargePlace Scotland,14,329.12,0,100.00%,Public
24-Dec,62877,62877,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG7 1EE,ChargePlace Scotland,1,55.13,0,100.00%,Public
24-Dec,62887,62887,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG8 6NR,ChargePlace Scotland,4,69.79,0,100.00%,Public
24-Dec,ACE0527435,62447,"ChargePlace Scotland, Midlothian Council",Midlothian,EH19 3GB,ChargePlace Scotland,3,0,0,100.00%,Public
24-Dec,ACE0527434,62437,"ChargePlace Scotland, Midlothian Council",Midlothian,EH19 3GB,ChargePlace Scotland,2,0.08,0,100.00%,Public
24-Dec,ACE0527437,62427,"ChargePlace Scotland, Midlothian Council",Midlothian,EH19 3GB,ChargePlace Scotland,3,0.16,0,100.00%,Public
24-Dec,ACE0527436,62417,"ChargePlace Scotland, Midlothian Council",Midlothian,EH19 3GB,ChargePlace Scotland,4,0.02,0,100.00%,Public
24-Dec,62407,62407,"ChargePlace Scotland, Cockburnspath Village Hall",Scottish Borders,TD13 5XY,ChargePlace Scotland,5,118.8,0,100.00%,Public
24-Dec,62184,62184,"ChargePlace Scotland, East Ayrshire Council, Ayrshire Roads Alliance",East Ayrshire,KA16 9AS,ChargePlace Scotland,58,1588.03,1,100.00%,Public
24-Dec,62318,62318,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 3UQ,ChargePlace Scotland,43,614.64,0,100.00%,Public
24-Dec,62317,62317,"ChargePlace Scotland, Stirling Council",Stirling Council,FK8 3UQ,ChargePlace Scotland,22,309.36,0,100.00%,Public
24-Dec,62675,62675,"Stirling Council, ChargePlace Scotland",Stirling Council,FK8 1HL,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62665,62665,"Stirling Council, ChargePlace Scotland",Stirling Council,FK8 1HL,ChargePlace Scotland,3,34.55,1,83.90%,Public
24-Dec,61852,61852,"ChargePlace Scotland, Eilean Donan Apartments",Highland,IV40 8DY,ChargePlace Scotland,37,877.98,1,74.30%,Public
24-Dec,62832,62832,Scottish Enterprise,South Lanarkshire,G75 0QR,ChargePlace Scotland,3,72.9,0,100.00%,Public
24-Dec,62823,62823,Scottish Enterprise,South Lanarkshire,G75 0QR,ChargePlace Scotland,15,579.24,0,100.00%,Public
24-Dec,62822,62822,Scottish Enterprise,South Lanarkshire,G75 0QR,ChargePlace Scotland,7,130.18,1,100.00%,Public
24-Dec,62813,62813,Scottish Enterprise,South Lanarkshire,G75 0QR,ChargePlace Scotland,11,383.81,0,100.00%,Public
24-Dec,62812,62812,Scottish Enterprise,South Lanarkshire,G75 0QR,ChargePlace Scotland,30,1053.67,0,100.00%,Public
24-Dec,60700,60700,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 2HH,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,61726,61726,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB23 8GX,ChargePlace Scotland,28,495.47,0,100.00%,Public
24-Dec,61727,61727,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1TF,ChargePlace Scotland,55,1617.17,1,100.00%,Public
24-Dec,4607,80351,"Stirling Council, BP - ChargePlace Scotland",Stirling Council,FC7 7FG,ChargePlace Scotland,9,74.81,0,100.00%,Public
24-Dec,62897,62897,"ChargePlace Scotland, Queen Margaret University",East Lothian,EH21 6UU,ChargePlace Scotland,9,137.29,0,100.00%,Public
24-Dec,61851,61851,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV1 1NQ,ChargePlace Scotland,29,597.5,0,100.00%,Public
24-Dec,62366,62366,"ChargePlace Scotland, Fife Council",Fife,KY1 1NY,ChargePlace Scotland,81,2415.36,0,99.80%,Public
24-Dec,62810,62810,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,4,102.46,0,100.00%,Public
24-Dec,62817,62817,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,0,0,0,99.90%,Public
24-Dec,62809,62809,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,2,1.14,0,100.00%,Public
24-Dec,62808,62808,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,4,95.01,0,100.00%,Public
24-Dec,62854,62854,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,10,212.89,0,99.70%,Public
24-Dec,62864,62864,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,22,745.23,0,99.20%,Public
24-Dec,62807,62807,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,3,57.73,0,100.00%,Public
24-Dec,62895,62895,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,2,0.94,0,100.00%,Public
24-Dec,62874,62874,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,30,857.29,0,98.40%,Public
24-Dec,62884,62884,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 3UE,ChargePlace Scotland,19,679.53,0,99.50%,Public
24-Dec,62885,62885,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,5,160.15,0,100.00%,Public
24-Dec,62894,62894,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,17,306.04,0,99.70%,Public
24-Dec,62875,62875,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,3,1.89,0,100.00%,Public
24-Dec,62855,62855,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,6,2.22,0,100.00%,Public
24-Dec,62865,62865,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AW,ChargePlace Scotland,10,376.42,0,100.00%,Public
24-Dec,61666,61666,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G43 1AT,ChargePlace Scotland,21,652.91,0,100.00%,Public
24-Dec,61665,61665,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G43 1AT,ChargePlace Scotland,22,911.32,0,100.00%,Public
24-Dec,61664,61664,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G43 1AT,ChargePlace Scotland,20,315,0,100.00%,Public
24-Dec,61780,61780,"Comhairle Nan Eilean Siar, ChargePlace Scotland",Na h-Eileanan an Iar,HS1 2BE,ChargePlace Scotland,34,877.93,0,99.60%,Public
24-Dec,61779,61779,"Comhairle Nan Eilean Siar, ChargePlace Scotland",Na h-Eileanan an Iar,HS1 2BE,ChargePlace Scotland,135,3273.44,1,96.20%,Public
24-Dec,61783,61783,"Comhairle Nan Eilean Siar, ChargePlace Scotland",Na h-Eileanan an Iar,HS5 3UA,ChargePlace Scotland,3,99.62,0,100.00%,Public
24-Dec,61782,61782,"Comhairle Nan Eilean Siar, ChargePlace Scotland",Na h-Eileanan an Iar,HS5 3UA,ChargePlace Scotland,11,337.21,0,99.60%,Public
24-Dec,61786,61786,"Comhairle Nan Eilean Siar, ChargePlace Scotland",Na h-Eileanan an Iar,HS7 5LA,ChargePlace Scotland,47,1243.25,1,98.20%,Public
24-Dec,61785,61785,"Comhairle Nan Eilean Siar, ChargePlace Scotland",Na h-Eileanan an Iar,HS7 5LA,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,61715,61715,"ChargePlace Scotland, Argyll & Bute Council",Argyll and Bute,PA29 6UF,ChargePlace Scotland,58,1104.38,4,95.50%,Public
