Month,Com-ID,Display_ID,Owner,Local_authority_area,Postcode,Domain,Number_of_sessions,Power_drawn_kWh,Number_of_faults,Uptime,Display_category
24-Dec,53256,53256,"ChargePlace Scotland, Scottish Power Energy Networks, South Lanarkshire Council",South Lanarkshire,G74 3JT,ChargePlace Scotland,35,1235.39,1,99.50%,Public
24-Dec,53599,53599,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML6 9EY,ChargePlace Scotland,21,409.86,0,100.00%,Public
24-Dec,53265,53265,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML5 1JE,ChargePlace Scotland,29,801.89,1,100.00%,Public
24-Dec,53264,53264,North Lanarkshire Council,North Lanarkshire,ML5 1JE,ChargePlace Scotland,7,100.18,1,88.70%,Public
24-Dec,53463,53463,"ChargePlace Scotland, Scottish Power Energy Networks, South Lanarkshire Council",South Lanarkshire,ML3 7UE,ChargePlace Scotland,41,834.03,1,99.00%,Public
24-Dec,53589,53589,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML5 1RX,ChargePlace Scotland,108,2295.65,1,96.80%,Public
24-Dec,53462,53462,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,ML3 7UE,ChargePlace Scotland,12,215.41,0,99.70%,Public
24-Dec,53464,53464,"ChargePlace Scotland, Scottish Power Energy Networks, South Lanarkshire Council",South Lanarkshire,ML3 7UE,ChargePlace Scotland,31,625.22,1,92.90%,Public
24-Dec,51959,51959,"ChargePlace Scotland, NatureScot Public",Perth and Kinross,PH1 3EW,ChargePlace Scotland,11,237.5,0,100.00%,Public
24-Dec,51955,51955,"ChargePlace Scotland, NatureScot Public",Highland,IV3 8NW,ChargePlace Scotland,31,1026.25,0,100.00%,Public
24-Dec,50503,50503,"ChargePlace Scotland, Scottish Midland Co-Operative Society Ltd",Perth and Kinross,PH13 6DJ,ChargePlace Scotland,4,17.77,0,100.00%,Public
24-Dec,APT50231,50231,"ChargePlace Scotland, Scottish Canals",Highland,PH33 7JH,ChargePlace Scotland,12,617.15,0,98.60%,Public
24-Dec,APT51019,51019,"ChargePlace Scotland, Scottish Canals",Falkirk,FK1 4RS,ChargePlace Scotland,6,142.39,0,100.00%,Public
24-Dec,FC18634,61341,"ChargePlace Scotland, ScotRail Trains Limited",Renfrewshire,PA5 8HE,ChargePlace Scotland,29,526.33,0,100.00%,Public
24-Dec,50951,50951,"ChargePlace Scotland, ScotRail Trains Limited",Scottish Borders,TD1 2SQ,ChargePlace Scotland,28,989.57,3,100.00%,Public
24-Dec,50952,50952,"ChargePlace Scotland, ScotRail Trains Limited",Scottish Borders,TD1 3AB,ChargePlace Scotland,23,719.68,0,98.00%,Public
24-Dec,APT50947,50947,"ChargePlace Scotland, ScotRail Trains Limited",Midlothian,EH22 1SB,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,10093,52539,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Perth and Kinross,PH2 8RT,ChargePlace Scotland,9,199.39,1,100.00%,Public
24-Dec,10094,52502,"ScotRail Trains Limited, BP - ChargePlace Scotland",Angus,DD11 1RQ,ChargePlace Scotland,6,105.45,0,100.00%,Public
24-Dec,4928,52514,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Lothian,EH42 1JX,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,4927,52549,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Highland,KW1 4QT,ChargePlace Scotland,9,154.92,0,100.00%,Public
24-Dec,4929,52526,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Argyll and Bute,G84 7QF,ChargePlace Scotland,18,171.69,0,100.00%,Public
24-Dec,4889,52548,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",East Lothian,EH33 1NG,ChargePlace Scotland,22,264.2,0,100.00%,Public
24-Dec,4890,52521,"ScotRail Trains Limited, BP - ChargePlace Scotland",North Ayrshire,KA14 3BQ,ChargePlace Scotland,16,350.89,0,100.00%,Public
24-Dec,4891,52546,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",City of Edinburgh,EH9 4BY,ChargePlace Scotland,22,426.4,0,100.00%,Public
24-Dec,4892,52547,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Inverclyde,PA18 6AA,ChargePlace Scotland,28,554.57,0,100.00%,Public
24-Dec,4850,52543,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",South Ayrshire,KA10 6JY,ChargePlace Scotland,2,37.01,0,100.00%,Private
24-Dec,4756,52501,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",West Lothian,EH48 3LP,ChargePlace Scotland,21,560.26,0,100.00%,Public
24-Dec,4757,52523,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Inverclyde,PA19 1QR,ChargePlace Scotland,34,700.95,0,100.00%,Public
24-Dec,4773,52510,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",City of Edinburgh,EH21 8QT,ChargePlace Scotland,68,1694.41,1,100.00%,Public
24-Dec,4775,52524,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Inverclyde,PA15 1DH,ChargePlace Scotland,20,364.22,0,100.00%,Public
24-Dec,4797,52522,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",South Ayrshire,KA26 9HF,ChargePlace Scotland,5,49.38,0,100.00%,Public
24-Dec,4798,52506,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",Stirling,FK9 4PH,ChargePlace Scotland,50,1313.09,0,100.00%,Public
24-Dec,4754,52519,"ScotRail Trains Limited, BP - ChargePlace Scotland",Falkirk,FK1 1QW,ChargePlace Scotland,13,191.58,1,100.00%,Public
24-Dec,4780,52161,"ChargePlace Scotland, ScotRail Trains Limited, BP - ChargePlace Scotland",North Ayrshire,KA24 4DE,ChargePlace Scotland,0,0,0,100.00%,Public
